Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources
Lactic Peel w/ FREE Dermalux Light ,Chemical Peel,Autumn Deals,,50min,60,,"['Alison/S', 'Danielle']",TRUE,"['Dermalux']"
Dermalux SATURDAY ONLY €20,LED Light Therapy,Autumn Deals,"Valid on SATURDAYS ONLY
Usually €35 (normal prices apply Tues-Fri)",20min,20,,['Dermalux LED Light Therapy Special'],TRUE,"['Dermalux']"
Ear Candling,Spa Package,Ear Candling,,30min,50,,"['Alison/S', 'Amy', 'Danielle']",TRUE,[]
Microneedling ,Chemical Peel,Skin,,45min,150,,"['Alison/S', 'Amy', 'Danielle']",TRUE,[]
Led Light Therapy (1 session),LED Light Therapy,Skin,"Please come in make up FREE, with cleansed skin to avail of this rejuvenating treatment - depending on your skin condition, we will select the wavelength. You will the relax under the LED light for 30 mins, and apply SPF before you leave the salon 

Dermalux uses unique combinations of clinically proven Blue, Red and Near Infrared wavelengths to boost collagen production, increase hydration, calm redness and irritation and blitz blemish causing bacteria.

As the light triggers a whole cascade of skin enhancing processes, the benefits continue even after the treatment has finished.",30min,35,,"['Alison/S', 'Amy', 'Danielle', 'Dermalux LED Light Therapy Special']",TRUE,"['Dermalux']"
LED Light Therapy Express /Add on,LED Light Therapy,Skin,,15min,15,,"['Alison/S', 'Amy', 'Danielle', 'Dermalux LED Light Therapy Special']",TRUE,"['Dermalux']"
Microneedling (3 sessions),Chemical Peel,Skin,Face & Neck x 3 ,60min,400,,"['Alison/S', 'Amy', 'Danielle']",TRUE,[]
Skin Consultation ,Skin Consultation,Skin,"Not sure where to start with your skin? A personalised skin assessment where we can review your current routine and to establish what is needed to get you glowing. We can tailor a program of treatments and homecare products to meet your skin goals. Price is redeemable against products. 
",30min,30,,['Alison/S'],TRUE,[]
Dermaplaning & Peel,Dermaplaning,Skin,"Dermaplaning which includes a double cleanse,
dermaplaning to remove dead skin cells and vellus hair (fluff), followed by an enzyme peel with a mask to finish. 
Real results getting rid of fine lines and resulting in smoother skin. It allows your skincare to penetrate deeper and your makeup to sit better on your skin.",45min,80,,"['Alison/S', 'Amy', 'Danielle']",TRUE,[]
Lactic Peel,Chemical Peel,Skin,"This Lactic acid peel softens skin cells, heals congestion and stimulates collagen formation. Skin is instantly brighter and fresher. The perfect treatment as an introduction to advanced skin treatments.",40min,70,,"['Alison/S', 'Amy', 'Danielle']",TRUE,[]
