Brand,Category,Name,Vol,Barcode,Stock,Status,Ordered,Min,Max,CostPrice,SalePrice
Salon Merch,Salon Essentials,Gel Polish Soak Off Kit,-,,Out,0,0,1,10,€3.00,€5.00
Salon Merch,Salon Essentials,HAND CRAFTED FOOT & BATH BLOCKS,-,,Out,0,0,1,20,€2.00,€5.00
ColorWow,Color wow,Color Wow Dream Carb Tonic,200 ml,5060150185151,In Stock,2,0,1,3,€12.50,€25.00
ColorWow,Color wow,Color wow Coconut Tonic,200 ml,5060150185144,In Stock,1,0,1,3,€12.50,€25.00
ColorWow,Color wow,Color Wow Dream Coat,200 ml,5060150185274,In Stock,2,0,1,3,€14.95,€30.00
ColorWow,Color wow,Color Wow Dream Filter,200 ml,5060150185489,In Stock,1,0,1,3,€0.00,€28.00
ColorWow,Color wow,Color Wow Kale Tonic,200 ml,5060150185168,Out,0,0,1,3,€12.50,€25.00
ColorWow,Color wow,COLORWOW MONEY MASK,215 ml,5060150185656,In Stock,2,0,1,6,€22.50,€44.00
ColorWow,Color wow,COLORWOW RAISE THE ROOT,150 ml,5060150185250,Out,0,0,0,0,€0.00,€22.00
Redken - Shades EQ,Redken,Shades EQ 010AG,60 ml,3474637069308,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010G,60 ml,3474637088583,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010GI,60 ml,3474636997510,In Stock,1,0,6,12,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010NB,60 ml,3474636997459,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010P,60 ml,3474636997558,Out,0,0,6,12,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010T,60 ml,3474636997534,In Stock,2,0,6,12,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010VG,60 ml,,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 010VV,60 ml,3474636997473,Out,0,0,6,12,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 05N,60 ml,884486002082,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 06CB,60 ML,743877066433,Out,0,0,3,6,€0.00,€0.00
Redken - Shades EQ,Redken,Shades EQ 06RB,60 ml,743877066761,In Stock,2,0,3,6,€0.00,€0.00
Salon Merch,Salon Essentials,Gel Polish Soak Off Kit,-,,Out,0,0,1,10,€3.00,€5.00
Salon Merch,Salon Essentials,HAND CRAFTED FOOT & BATH BLOCKS,-,,Out,0,0,1,20,€2.00,€5.00
ColorWow,Color wow,Color Wow Dream Carb Tonic,200 ml,5060150185151,In Stock,2,0,1,3,€12.50,€25.00
ColorWow,Color wow,Color wow Coconut Tonic,200 ml,5060150185144,In Stock,1,0,1,3,€12.50,€25.00
