Brand,Category,Name,Vol,Barcode,Stock,Status,Ordered,Min,Max,CostPrice,SalePrice
Salon Merch,Salon Essentials,Gel Polish Soak Off Kit,-,,Out,0,0,1,10,€3.00,€5.00
ColorWow,Color wow,Color Wow Dream Carb Tonic,200 ml,5.06015E+12,In Stock,2,0,1,3,€12.50,€25.00
Redken - Shades EQ,Redken,Shades EQ 010AG,60 ml,3.47464E+12,Out,0,0,3,6,€0.00,€0.00
Olaplex.,Olaplex,Olaplex No. 4C Clarifying Shampoo,250 ml,8.50019E+11,Out,-1,0,0,0,€0.00,€29.50
RedOne,Redken,Shades GELS 6RO,60 ml,8.84486E+11,In Stock,2,0,3,6,€0.00,€0.00
OLAPLEX BONDING,Olaplex,Olaplex No. O Intensive Bond Builder Treatment,-,8.96364E+11,In Stock,4,0,6,0,€0.00,€29.50
Redken Styling,Redken,Color Extend Blondage Conditioner,300 ml,3.47464E+12,Out,-1,0,0,0,€0.00,€20.00
AlfaParf Milano,Alfaparf Milano,EOC 6.1,60 ml,8.0223E+12,In Stock,1,0,1,2,€0.00,€0.00
Bellamianta,Bellamianta,Liquid Gold Dark,200 ml,5.06092E+12,Out,0,0,1,6,€0.00,€24.95
S Pro,Salon Essentials,Highlighting Meche Long,250 pcs,5.0331E+12,Out,0,0,3,10,€0.00,€0.00
Little Green Kids,Salon Essentials,Lice Gaurd System,-,6.69259E+11,In Stock,3,0,0,0,€21.50,€39.00
ALFAPARF,Alfaparf Milano,10 Vol OXID'O 3%,1000 ml,8.0223E+12,In Stock,3,0,4,6,€13.20,€0.00
Olaplex,Olaplex,Olaplex Bond Maintenance Shampoo No.4,250 ml,8.96364E+11,Out,-7,0,1,4,€0.00,€29.50
Barbicide,Salon Essentials,Barbicide,1890 ml,01792256421,Out,0,0,1,2,€0.00,€0.00
Brush,Salon Essentials,Kulture 74 Lollypop Brush,-,5.39152E+12,Out,-1,0,3,3,€0.00,€16.00
GHD,GHD,GHD Curve Tong,-,5.06048E+12,In Stock,2,0,0,0,€0.00,€159.00
Easilocks,Color wow,Root Refresh Brown,4 g,5.39153E+12,Out,-1,0,2,0,€0.00,€18.00
HD Brows,HD Brows,Eye & Brow Palette Bombshell,-,5.05569E+12,In Stock,3,0,1,5,€20.00,€30.00
GHD Retail,Electrical,GHD Brush,-,5.06048E+12,Out,-1,0,0,0,€0.00,€20.00
Joico Retail,Joico,Glamtex Structure Spray,-,4.04579E+12,Out,-1,0,0,6,€0.00,€19.95
K18.Biomimetic.Hairscience,K18,K18,15 ml,8.58511E+11,Out,0,0,1,3,€13.50,€25.00
Redken Retail,Redken,Colour Extend magnetics Shampoo,300 ml,3.47464E+12,In Stock,1,0,3,6,€0.00,€20.00
Olapex,Olaplex,Olaplex No.9 bond Protector,-,8.50019E+11,Out,-1,0,1,6,€0.00,€29.50
iGlow,Salon Essentials,Lash Maximizer,-,,Out,0,0,1,0,€0.00,€51.00
Joico,Joico,Blonde Life Violet Shampoo,300 ml,074469513340,Out,0,0,1,6,€0.00,€17.95
Lisse Design,Alfaparf Milano,Lisse Design Maintenance kit,-,8.0223E+12,In Stock,2,0,0,0,€0.00,€39.00
NAK,Nak,Mineral Defence,100 ml,9.32851E+12,In Stock,1,0,1,4,€12.45,€24.90
Redken,Redken,Color Extend Blondage Set,-,5.0515E+12,In Stock,2,0,0,0,€0.00,€48.50
Parlux,Electrical,Parlux 3200 Plus,-,5.03129E+12,Out,-3,0,0,0,€0.00,€139.00
Skinician,Skinician,Advanced Calming Serum,50 ml,5.06015E+12,Out,-6,0,3,6,€0.00,€54.00
REVLON,Revlon,Equave Original,200 ml,8.43223E+12,In Stock,1,0,1,3,€8.99,€16.95
TLC,Electrical,Titaniuim Pro 5000 Hairdryer,-,5.39152E+12,Out,0,0,1,3,€0.00,€59.00
TLC Brushes,TLC,TLC 34MM BRUSH,-,5.39152E+12,In Stock,1,0,1,6,€8.50,€15.50
Sibel,Salon Essentials,Black Nitrile Glove M,100 pcs,5.41206E+12,In Stock,2,0,1,3,€0.00,€0.00
XPERT,TLC,Knot Kulture 74,-,3.91516E+11,In Stock,6,0,0,0,€0.00,€30.00
