name,full-price,cost-price,barcode,description,category,supplier
All Aglow,35,,,,Default,
Clear Skin Solutions,55,,,,Default,
Brighten & Protect,55,,,,Default,
The Sparkle of the Season,155,,,,Default,
Sheer Hydration SPF,54.5,0,,,Default,
Clear Shield SPF,54.5,0,,,Default,
Bright & Clear Solution,52,0,,,Default,
Sensicalm Cleanser,42,0,,,Default,
Oatfoliant,45,0,,,OPC,
Skin Mist,45,0,,,CHM,
Clear Skin Treatment,28,,,,Default,
Oil & Milk Cleanser,32,0,,,Default,Skin Formulas
Balancing Gel Masque,54.5,0,,,Ormedic 2.0,Renaissance Products Ltd
Hydrating Facial Oil,61,0,,,VITAL C,Renaissance Products Ltd
Tinted Moisturiser SPF 30,58,0,,,PREVENTION +,Renaissance Products Ltd
Hydrating Moisturiser SPF 30,58,0,,,PREVENTION +,Renaissance Products Ltd
Clarifying Pads (50 pads),41,0,,,CLEAR CELL,Renaissance Products Ltd
Hydrating Anti-Ageing Serum,90,0,,,VITAL C,Renaissance Products Ltd
Max Stem Cell Wrinkle Smoother,108.5,,,,THE MAX STEM CELL,Renaissance Products Ltd
Max Stem Cell Contour Gel Creme,142.5,,,,THE MAX STEM CELL,Renaissance Products Ltd
Total Overnight Retinol Masque,108,,,,AGELESS,Renaissance Products Ltd
Max Stem Cell Neck Lift,126,,,,THE MAX STEM CELL,Renaissance Products Ltd
Deluxe Hydrating Anti-Ageing Serum,90,0,,,VITAL C,Renaissance Products Ltd
Total Repair Creme,97,0,,,AGELESS,Renaissance Products Ltd
Clear Cell Restoring Serum,60,0,,,CLEAR CELL,Renaissance Products Ltd
Clarifying Acne Masque,45.5,0,,,CLEAR CELL,Renaissance Products Ltd
Clarifying Acne Lotion,45,0,,,CLEAR CELL,Renaissance Products Ltd
Clarifying Gel Cleanser,45,0,,,CLEAR CELL,Renaissance Products Ltd
Hydrating Intense Moisturiser,92,0,,,VITAL C,Renaissance Products Ltd
Hydrating Enzyme Masque,52,0,,,VITAL C,Renaissance Products Ltd
Hydrating Facial Cleanser,46.5,0,,,VITAL C,Renaissance Products Ltd
Balancing Facial Cleanser,45,0,,,Ormedic 2.0,Renaissance Products Ltd
Anti Ageing Hydrogel Sheet Mask (5 pack),52.5,,,,IMASK,Renaissance Products Ltd
Total Resurfacing Mask,51,0,,,AGELESS,Renaissance Products Ltd
Total Facial Cleanser,45.5,0,,,AGELESS,Renaissance Products Ltd
Total Eye Lift Creme,59,0,,,AGELESS,Renaissance Products Ltd
Hydrating Hand & Body Lotion,59.5,,,,VITAL C,Renaissance Products Ltd
Hydrating ACE Serum,80,0,,,VITAL C,Renaissance Products Ltd
Total Pure Hyaluronic Filler,93,0,,,AGELESS,Renaissance Products Ltd
Max Stem Cell Masque,56.5,,,,THE MAX STEM CELL,Renaissance Products Ltd
Intense Brightening Creme,118.5,0,,,ILUMA,Renaissance Products Ltd
