Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources
40% off Permanent Jewellery !,Perm,BLACK FRIDAY DEALS,"Decide on the day Whether it’s a bracelet, anklet or necklace, Mia’s offering the best deals for our permanent jewelry 

 For our prices please look on mia’s instagram @mia_studio75  - offer ends 6 DECEMBER 2024",,,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],TRUE,[]
HYDROFACIAL,Facial,BLACK FRIDAY DEALS,HYDROFACIAL and dermaplaning package only £30 !!,60min,30,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],TRUE,[]
20 % OFF MAKEUP,Makeup Service,BLACK FRIDAY DEALS,Get party ready with our amazing offer of 20% off our make up services (valid until December 31st),,,,"['Esha', 'Topaz']",TRUE,[]
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",60min,17.2,,,,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",60min,17.2,,,,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",60min,17.2,,,,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",60min,17.2,,,,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",60min,17.2,,,,
Gel removal ,Gel Nails,Nails,,10min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",TRUE,[]
Hard gel file off removal,Gel Nails,Nails,,15min,8,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",TRUE,[]
Builder gel group training | 1 day .,Gel Nails,Nails,,420min,350,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",FALSE,[]
Christmas Eve out of hours ,Beard Trimming,Nails,,5min,10,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",FALSE,[]
