Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources
40% off Permanent Jewellery !,Perm,BLACK FRIDAY DEALS,"Decide on the day Whether it’s a bracelet, anklet or necklace, Mia’s offering the best deals for our permanent jewelry 💗

 For our prices please look on mia’s instagram @mia_studio75  - offer ends 6 DECEMBER 2024",,,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],True,[]
HYDROFACIAL,Facial,BLACK FRIDAY DEALS,HYDROFACIAL and dermaplaning package only £30 !!,1h,30,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],True,[]
20 % OFF MAKEUP,Makeup Service,BLACK FRIDAY DEALS,Get party ready with our amazing offer of 20% off our make up services (valid until December 31st),,,,"['Esha', 'Topaz']",True,[]
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",1h,£40,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",1h,£40,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",1h,£40,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",1h,£40,
BBL Vacuum Therapy Brazillian Bum Body Sculpting , ,,"Brazillian bum vaccum enhancing course 
Was £170 NOW £85 !!!",1h,£40,
Gel removal ,Gel Nails,Nails,,10min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",True,[]
Hard gel file off removal,Gel Nails,Nails,,15min,8,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",True,[]
Builder gel group training | 1 day .,Gel Nails,Nails,,7h,350,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",False,[]
Christmas Eve out of hours ,Beard Trimming,Nails,,5min,10,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)', 'Topaz']",False,[]
Russian manicure ,Russian Manicure,Nails,"A dry high end manicure with precise cuticle work. 
A clean and crisp cuticle with the effect of less regrowth. 

",1h 25min,36.5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Luxury manicure,Manicure,Nails,"Spoil yourself by upgrading to our luxury manicure.
This service includes 
- Russian manicure cuticle work (gel needs to be booked separately)
- Hand scrub
- Hand soak 
- Hand massage

(Please note this is a service with out gel application - if you would like gel additionally please add on separately)",25min,15,,"['All team members', 'Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Dual form gel extensions ,Gel Nail Extensions,Nails,"For the long nail girls wanting a secure, long strong extension. 
Dual forms are a hard gel extension, which means this is a file off product ",1h 20min,45,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
BIAB extensions  (builder in a bottle) ,Manicure,Nails,"Biab extensions are a builder gel that extend your natural length. 
To kickstart your Biab journey, you can have longer nails from the start! 

Please note you can not add too much length with BIAB extensions as with extensions they are less durable- unlike long natural biab nails- they may not last as long as shorter extensions.",,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
BIAB Nails ,Manicure,Nails,,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
BIAB Infill ,Gel Nails,Nails,,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Shellac manicure,Manicure,Nails,"Shellac on the top of natural nails. 
Lasts 2-3 weeks before needing a removal.",1h,27,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",True,[]
BIAB removal ,Gel Nails,Nails,Soak off gel nails (hands or toes) ,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Acrylic removal,Manicure,Nails,Soak off acrylic previously applied by steph,,,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Nail repair,Manicure,Nails,,15min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",True,[]
Acrylic freestyle,Acrylic Nails,Nails,,2h 15min,45,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],True,[]
Acrylic extensions infill ,Acrylic Nails,Nails,,1h 30min,40,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],True,[]
Nail art,Nail Art,Nails,,15min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Rhinestones ,Gel Nails,Nails,,5min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Chrome,Manicure,Nails,,5min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Men’s manicure ,Manicure,Nails,,20min,20,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Children’s manicure (with gel polish),Manicure,Nails,,30min,15,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",True,[]
Out of hours fee (after 4pm),Manicure,Nails,"This is to be added to every appointment after 4pm due to these available appointments are our ‘out of hours’ and are treated as over time. 
Thank you kindly",5min,5,5min,"['All team members', 'Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Luxury pedicure (Removal of dead skin) and biab toes,Pedicure,Pedicures,"Pamper your hard working feet with our signature pedicure including- 
                 •𝗗𝗘𝗔𝗗 𝗦𝗞𝗜𝗡 𝗥𝗘𝗠𝗢𝗩𝗔𝗟 
                 •𝗙𝗢𝗢𝗧 𝗦𝗖𝗥𝗨𝗕 
                 •𝗚𝗘𝗟/𝗕𝗜𝗔𝗕 𝗠𝗔𝗡𝗜𝗖𝗨𝗥𝗘 
                 •𝗙𝗢𝗢𝗧 𝗠𝗔𝗦𝗦𝗔𝗚𝗘
                 •𝗔𝗡𝗧𝗜 𝗖𝗥𝗔𝗖𝗞𝗜𝗡𝗚 𝗛𝗘𝗘𝗟 𝗧𝗥𝗘𝗔𝗧𝗠𝗘𝗡𝗧 
All treatments are carried out using only PROFESSIONAL products and care 🤍🫧
",1h 20min,42,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
BIAB toes,Pedicure,Pedicures,Biab overlay on the natural toe - any gel can go on top of !,45min,30,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Shellac toes,Pedicure,Pedicures,"A normal gel application to achieve a long lasting thin colour application. 
NOTE : application can not be infilled only removed and reapplied.",45min,27,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",True,[]
Toe nail reconstruction ,Pedicure,Pedicures,With help either hard gel or acrylic we can re sculpt your missing/ damaged toe nail/s bringing back the confidence you need 😊🩷,1h,38,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],True,[]
Acrylic toe nails ,Acrylic Nails,Pedicures,"Acrylic toe nails over the natural nail (helps to build a broken corner ect. 
Please note : THIS SERVICE IS NOT FOR RECONSTRUCTING TOE NAILS. 
",1h,35,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],True,[]
BIAB toe removal,Pedicure,Pedicures,,10min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
LVL Lash Lift,Lash Lift,Lashes and brows,"SKIN TEST REQUIRED! 
LVL stands for length, volume and lift.
One way to think of a lash lift is like a perm for your eyelashes. Unlike a lash extension, a lash lift simply alters the shape and color of your natural lashes. 
Results last 6-8 weeks !",55min,35,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
HD Brow Sculpt,Eyebrow Shaping,Lashes and brows,"PATCH TEST REQUIRED  
Brow Sculpt is brow lamination with a bespoke HD Brows twist. Whether you dream of achieving that full, fluffy eyebrow look, want to create symmetry in uneven brows or tame unruly hairs, our BrowSculpt brow lamination treatment is for you.
WAX AND TINT INCLUDED",45min,28,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Brow Lamination ,Brow Lamination,Lashes and brows,"PATCH TEST REQUIRED  
A perming technique to manipulate hairs into a new desired position 
WAX AND TINT NOT INCLUDED",35min,20,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Eyebrow Wax And Tint,Eyelash Tinting,Lashes and brows,Eyebrow tint and shaping using wax for a clean crisp brow,15min,10,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Lash removal ,Eyelash Extensions,Lashes and brows,,20min,10,,[],True,[]
Reweld,Perm,Permanent Jewllery,,20min,20,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Bracelet ,Updo,Permanent Jewllery,,25min,60,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Anklet ,Updo,Permanent Jewllery,,20min,65,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Necklace ,Updo,Permanent Jewllery,,25min,95,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",True,[]
Charms,Updo,Permanent Jewllery,"Make your jewellery uniquely yours. 
Choose from birthstones, zodiacs initials and more! 

Please DM us on instagram for our stock.",10min,10,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],True,[]
HYDRO FACIAL,Facial Extractions,Facial,"HYDROFACIAL 
Removes dead skin cells and impurities, while simultaneously delivering moisturizing serums into the skin.

Perfect for all skin types. ",1h,65,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],True,[]
Facial,Facial,Facial,"3 different facials for you needs!
Relaxing facial: Allows you to feel relaxed while having a full cleanse. 
Dermaplaning facial: Removes dead skin and peach fuzz.
All inclusive Facial: Is a mix of both facials with all dead skin and dirt removed and peach fuzz but you will also feel nice and relaxed coming to the end of the facial with a massage. ",,,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],True,[]
Bridal Trial,Bridal Makeup,Makeup,"We recommend a bridal trial to ensure your dream look comes to life on your big day. During the trial, we will discuss your preferences and many any necessary adjustments. ",1h 30min,60,,['Esha'],True,[]
Bridal Makeup,Bridal Makeup,Makeup,Choose Studio75 for your big day. Eyelashes and a touch up kit is included in this service and a bridal trial is recommended. ,2h,90,,['Esha'],True,[]
"Occasional Glam (Prom, Graduation, Party)",Makeup Service,Makeup,"Makeup suitable for special occasions, that will last all night. This service includes eyelashes.",1h,45,,['Esha'],True,[]
Soft/Full Glam,Makeup Service,Makeup,Achieve your perfect look with either soft or full glam. This service includes eyelashes. ,1h,45,,['Esha'],True,[]
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,1h,£40,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,1h,£40,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,1h,£40,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,1h,£40,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,1h,£40,
BBL Vacuum Therapy ,Body Sculpting,Body Sculpting,,1h,40,,['Topaz'],True,[]
Butterfly set,Permanent Makeup,Tooth gems,,35min,55,,[],True,[]
Full service cover,Permanent Makeup,Tooth gems,,35min,50,,[],True,[]
Window,Permanent Makeup,Tooth gems,,35min,45,,[],True,[]
Classic gem,Permanent Makeup,Tooth gems,,30min,30,,[],True,[]
"Underarm wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",20min,£9,
"Full Arm wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",35min,£16,
"Full Leg wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",55min,£19,
Full Arm wax Full leg and Arm wax , ,,Full leg and Full arm wax using soft wax.,35min,£16,
Full Leg wax Full leg and Arm wax , ,,Full leg and Full arm wax using soft wax.,55min,£19,
"Upper lip, Chin and sides face wax ",Face Waxing,Waxing,"Removal of hairs from sides of the face, including sideburns, with upper lip and chin using soft wax. ",35min,13,,[],True,[]
